lon,lat,count
12648750,2629750,13
12582250,2644250,2
12646250,2681250,15
12618750,2633250,21
12594750,2618750,15
12674750,2567750,3
12608250,2648250,3
12640250,2684750,1
12622750,2630750,202
12648250,2682750,2
12600250,2627250,2
12600250,2660250,25
12600250,2626250,3
12597750,2617750,3
12677750,2628750,2
12608250,2566750,1
12613750,2644250,65
12613750,2632750,91
12597750,2643750,2
12597750,2624250,23
12616250,2651750,2
12680250,2694750,1
12688250,2684750,1
12640250,2633250,1
12674750,2599250,1
12578750,2587750,1
12634750,2628750,4
12618750,2659750,4
12618750,2624750,16
12618750,2575750,1
12618750,2623750,12
12614250,2634750,54
12598250,2633250,11
12600750,2622750,4
12600750,2627750,10
12680750,2646750,1
12594750,2629750,3
12651250,2629250,4
12651250,2618750,1
12603250,2597750,1
12691250,2614250,1
12603250,2591750,1
12619250,2659750,4
12611250,2595750,1
12611250,2621250,18
12659250,2646750,1
12691250,2601250,1
12576750,2682750,2
12592750,2620250,2
12592750,2639750,1
12608750,2587750,1
12640750,2592750,6
12640750,2594250,3
12616250,2641750,17
12610750,2595750,2
12674750,2618250,1
12690750,2614750,1
12608250,2665750,2
12688250,2562750,3
12688250,2617750,1
12648250,2587750,2
12600250,2624250,28
12616250,2640250,110
12613750,2582250,2
12613750,2658250,6
12613750,2570250,1
12645750,2636750,9
12602250,2602250,1
12634250,2614250,1
12634250,2618250,1
12642250,2587750,2
12621250,2593250,1
12621250,2620750,3
12669250,2651250,1
12685250,2576250,1
12613250,2622250,2
12645250,2627250,5
12617750,2626250,95
12633750,2600250,4
12649750,2597250,2
12615250,2585250,4
12615250,2671750,1
12623250,2623750,2
12604750,2576250,1
12580750,2579750,3
12610250,2587750,4
12610250,2628750,279
12619750,2635750,33
12630750,2619250,3
12617250,2631750,374
12689250,2606750,1
12593250,2576250,1
12643750,2628250,32
12627750,2707250,1
12611750,2627750,124
12646750,2586750,2
12587750,2564250,2
12654250,2631750,1
12638250,2631250,1
12606250,2636750,91
12606250,2646750,4
12606250,2576750,3
12641750,2641250,15
12577750,2640750,1
12684250,2613250,1
12684250,2604750,2
12684250,2582250,1
12588250,2662750,1
12670750,2579750,2
12613250,2636750,1
12613250,2581250,2
12610750,2634750,14
12610750,2641250,251
12613250,2586750,2
12656250,2596750,1
12616250,2668250,2
12632250,2589750,1
12650250,2651750,1
12682250,2621750,1
12631750,2619750,1
12647750,2610750,1
12679750,2559250,1
12599750,2624250,14
12599750,2638750,1
12599750,2655750,1
12645750,2570250,1
12591750,2610250,2
12607750,2660250,6
12605250,2661750,9
12597250,2660750,14
12597250,2637250,3
12622250,2566250,1
12622250,2615750,9
12670250,2620250,2
12627750,2630250,61
12691750,2610250,1
12585250,2566250,2
12617250,2667250,1
12633250,2622750,1
12681250,2564750,3
12691250,2618750,3
12693750,2559250,2
12605750,2596750,5
12669750,2618250,2
12603250,2643250,1
12611250,2639750,2
12627250,2620750,5
12675250,2604250,1
12634250,2670250,1
12600750,2629250,23
12616750,2653750,2
12616750,2649750,1
12614250,2624750,2
12646250,2719250,1
12694250,2576250,4
12601250,2581250,1
12617250,2606250,4
12617250,2636750,185
12694750,2575250,2
12606750,2592750,2
12606750,2577750,2
12622750,2584250,1
12686750,2561250,1
12604250,2564250,1
12604250,2660250,1
12620250,2607750,16
12632750,2596750,1
12630250,2662750,3
12684250,2607750,2
12622250,2632250,98
12622250,2616750,13
12603750,2664250,24
12579750,2588750,6
12611750,2654750,2
12627750,2562750,1
12607250,2660250,2
12623250,2640750,25
12671250,2652250,11
12588750,2568250,2
12604750,2580250,1
12628750,2609750,2
12610250,2608250,3
12602250,2662750,9
12596250,2671250,3
12612250,2632750,138
12628250,2585250,1
12676250,2575250,1
12577750,2674750,1
12625750,2609250,1
12617750,2636750,27
12599250,2631250,1
12615250,2636750,146
12581250,2598750,1
12613250,2646750,42
12617750,2701750,1
12609750,2607250,5
12609750,2659250,4
12660250,2623250,2
12604250,2604750,7
12606750,2629250,169
12590750,2564750,2
12586250,2695750,7
12604750,2607250,3
12604750,2634250,49
12636750,2637250,11
12628750,2628750,37
12660750,2620250,2
12626250,2608750,1
12642250,2676250,3
12682250,2559750,10
12679750,2589250,3
12599750,2631750,16
12639750,2629750,3
12653250,2677250,1
12685250,2607250,2
12600750,2622250,1
12680750,2603250,1
12680750,2587250,1
12608750,2610250,1
12648750,2617750,1
12634750,2615750,4
12610750,2631750,93
12658750,2621750,1
12674750,2631250,1
12672250,2578250,1
12587750,2600250,6
12614750,2614750,19
12611750,2629250,6
12611750,2633250,141
12579750,2607750,1
12667750,2628750,1
12603750,2660750,6
12638250,2581250,1
12606250,2663250,5
12606250,2647250,3
12606250,2651250,1
12590250,2610750,4
12630250,2655250,2
12582250,2588750,1
12595750,2619750,15
12638250,2603750,1
12619750,2661250,2
12667750,2622750,1
12611750,2642250,12
12643750,2639750,1
12593250,2614750,6
12609250,2646250,10
12609250,2646750,5
12641250,2590250,3
12601250,2611750,8
12640750,2601750,1
12587250,2600750,3
12619250,2638250,9
12627250,2613750,2
12617250,2626750,104
12672750,2598250,1
12598250,2620750,5
12609750,2656750,5
12609750,2620250,2
12673750,2617250,3
12681750,2583250,1
12647250,2573250,1
12607250,2562750,1
12617250,2656750,1
12617250,2629250,10
12649250,2647250,1
12614750,2623750,25
12646750,2632750,64
12662750,2622750,1
12688250,2613250,1
12590750,2619250,1
12590750,2619750,1
12590750,2631750,1
12622750,2614250,10
12622750,2627750,83
12622750,2593250,1
12588250,2600750,1
12596250,2580250,1
12618250,2630750,113
12634250,2611750,16
12639750,2593750,3
12653250,2594750,2
12613250,2668250,1
12645250,2679750,3
12604750,2656750,2
12649750,2659750,1
12615250,2613250,44
12591250,2617250,4
12591250,2569750,1
12607250,2624250,94
12604750,2637750,3
12661250,2591750,1
12604750,2654750,4
12620750,2617250,65
12636750,2638750,1
12684750,2608250,2
12596750,2634250,1
12612750,2647750,41
12690250,2577250,4
12672250,2671750,1
12608250,2650250,1
12592250,2628750,1
12642750,2672750,3
12610750,2640750,206
12629250,2576750,2
12581250,2611250,2
12653250,2635250,2
12605250,2606250,2
12687750,2605750,2
12671750,2592250,2
12655750,2611750,1
12599750,2670250,2
12691250,2578750,1
12627250,2635750,3
12611250,2657250,1
12611250,2618750,6
12633750,2629250,4
12683250,2613250,1
12603250,2666250,7
12603250,2649250,2
12621750,2633250,18
12597750,2624750,7
12656750,2591250,3
12600750,2663250,2
12630250,2666750,1
12622250,2622250,1
12670250,2592750,2
12603750,2607750,1
12619750,2628250,1
12605750,2634750,162
12680250,2565250,2
12645750,2584750,5
12589750,2564250,2
12611750,2639750,6
12669750,2591750,1
12619250,2622250,1
12635250,2663250,1
12635250,2669250,5
12683250,2609250,2
12611250,2589250,3
12676250,2563750,3
12590750,2665750,1
12604250,2614750,3
12604250,2564750,1
12604250,2661250,14
12668250,2650250,1
12684250,2606750,1
12644250,2642750,4
12609750,2574250,1
12585250,2559250,6
12627750,2634250,2
12659750,2614750,2
12675750,2629750,2
12675750,2575250,1
12625250,2635750,81
12657250,2612250,3
12617250,2582250,2
12617250,2630750,115
12633250,2635250,2
12665250,2589250,1
12582750,2704750,4
12614750,2622750,32
12630750,2627250,48
12668750,2593250,1
12580750,2629250,1
12612750,2640250,1
12626250,2660250,1
12642250,2587250,8
12604750,2639750,14
12650250,2652250,3
12682250,2586250,3
12631750,2610750,4
12647750,2651250,1
12663750,2616250,1
12679750,2614250,1
12601750,2673750,1
12660250,2636250,1
12583750,2621750,2
12665750,2639750,2
12583250,2692750,1
12591250,2653750,1
12655250,2611250,2
12626250,2601750,3
12615750,2620250,2
12679750,2566250,2
12647750,2631250,14
12631750,2627750,27
12618250,2643750,48
12674250,2649250,2
12642250,2651250,1
12615750,2607250,3
12610250,2575750,1
12661250,2615250,3
12605250,2674250,3
12605250,2577750,1
12605250,2649250,5
12655750,2617250,1
12607750,2660750,6
12629250,2670750,2
12599750,2671250,4
12623750,2617250,12
12655750,2648250,10
12605250,2609250,1
12669250,2590250,1
12597250,2617750,12
12613250,2622750,4
12613250,2643250,59
12685250,2604750,1
12621250,2604250,1
12671750,2583750,1
12639750,2584250,1
12600250,2672750,1
12600250,2638750,1
12616250,2661750,1
12597750,2639250,4
12619250,2616250,29
12667250,2618250,2
12611250,2625250,31
12691250,2574750,2
12677250,2614750,1
12661250,2626750,1
12586750,2561250,1
12602750,2618250,5
12608250,2661750,12
12608250,2632750,40
12624250,2625750,5
12640250,2594250,7
12696250,2564250,5
